Time,Open,High,Low,Close,Volume
2022-4-13,85.5,85.5,82.7,83,16491
2022-4-17,83.2,84.7,81.4,81.5,30835
2022-4-18,83.5,83.5,79.9,80.4,19660
2022-4-19,83.6,83.6,79,81.4,16095
2022-4-20,84.1,84.1,80.2,82.7,3301
2022-4-21,82.5,84,81.1,83.1,18498
2022-4-24,84,86.9,83.5,84.2,11976
2022-4-25,86.5,86.5,82.1,82.9,35353
2022-4-26,84.9,84.9,82.2,83.6,14807
2022-4-27,85.6,85.6,83.6,83.8,32369
2022-4-28,85,85,82,83,24697
2022-5-5,85.5,85.5,82.5,82.7,11028
2022-5-8,85,85,81.4,81.6,32873
2022-5-9,84.4,84.4,82.5,83.9,23473
2022-5-10,84.8,84.8,82.8,83,19180
2022-5-11,83.9,83.9,81.7,81.9,24763
2022-5-12,82.5,82.5,80.7,80.9,24471
2022-5-16,81.3,81.3,78.5,78.8,27124
2022-5-17,78.9,84.4,77.5,79,25219
2022-5-18,77.8,82,77,78,32670
2022-5-19,77.2,79,76,76.8,23120
2022-5-22,78,78,74.9,76.8,17472
2022-5-23,76,83.7,76,77.7,2201
2022-5-24,80,80,77.1,77.5,3748
2022-5-25,77.5,78,76.2,77.4,11527
2022-5-26,79.8,79.8,75.9,76,17839
2022-5-29,82.4,82.4,76.3,78,8165
2022-5-30,79.9,81,76.8,77.4,28743
2022-5-31,77.5,79.9,77.5,77.8,67546
2022-6-1,85.5,85.5,76.3,81.9,61526
2022-6-2,88.7,88.7,80.8,83.1,40672
2022-6-5,84.4,86.9,83,84.6,51359
2022-6-6,85.9,85.9,83.1,83.9,100503
2022-6-7,92,92,83.3,85.9,58209
2022-6-8,88,88,84.4,84.6,15621
2022-6-9,87,87,83,83.2,16831
2022-6-12,84.9,84.9,81.7,81.7,8403
2022-6-13,83.2,83.2,80.1,80.1,23368
2022-6-14,83.9,83.9,78.5,78.7,24898
2022-6-15,82.2,82.3,78.8,78.9,19762
2022-6-16,81.5,81.5,77.4,77.9,31162
2022-6-19,87,87,78.5,79.1,61394
2022-6-20,83.9,83.9,77.6,78.4,37273
2022-6-21,80,80,77,77.8,69014
2022-6-22,83,85.5,77.7,78,25556
2022-6-23,80,80,77,78.6,45737
2022-6-26,79.7,79.7,77.6,77.8,9438
2022-6-27,79.7,79.7,77.4,78.6,11101
2022-6-28,80,81,79,80.1,22578
2022-6-29,78.6,82,78.5,78.8,49533
2022-6-30,78.8,80.5,78.5,79,24659
2022-7-3,79.4,81,79.4,80.4,21363
2022-7-4,82,82,79.5,79.6,19210
2022-7-5,83.5,83.5,79.5,79.6,24486
2022-7-6,81.6,81.6,79.5,79.9,28934
2022-7-12,74.2,77,74.2,75.4,26153
2022-7-13,74.9,74.9,73.9,74,48458
2022-7-14,76,76,74.2,74.6,6005
2022-7-17,75,75,73.9,74,11336
2022-7-18,73,75,72.6,72.6,18154
2022-7-19,75.8,75.8,71.2,71.2,11958
2022-7-20,73.8,73.8,69.8,69.8,10774
2022-7-21,71.5,71.5,69,69.8,4364
2022-7-24,74.9,74.9,68.5,68.5,11925
2022-7-25,70.5,70.5,67.2,67.2,17534
2022-7-26,70.5,73.9,68.2,72.9,23833
2022-7-27,71.5,71.8,71.5,71.7,1702
2022-7-28,71,71,70.3,70.5,180
